age;job;marital;education;default;housing;loan;poutcome
58;management;married;tertiary;no;yes;no;unknown
44;technician;single;secondary;no;yes;no;unknown
33;entrepreneur;married;secondary;no;yes;yes;unknown
47;blue-collar;married;unknown;no;yes;no;unknown
33;unknown;single;unknown;no;no;no;unknown
35;management;married;tertiary;no;yes;no;unknown
28;management;single;tertiary;no;yes;yes;unknown
42;entrepreneur;divorced;tertiary;yes;yes;no;unknown
58;retired;married;primary;no;yes;no;unknown
43;technician;single;secondary;no;yes;no;unknown
41;admin.;divorced;secondary;no;yes;no;unknown
29;admin.;single;secondary;no;yes;no;unknown
53;technician;married;secondary;no;yes;no;unknown
58;technician;married;unknown;no;yes;no;unknown
57;services;married;secondary;no;yes;no;unknown
51;retired;married;primary;no;yes;no;unknown
45;admin.;single;unknown;no;yes;no;unknown
57;blue-collar;married;primary;no;yes;no;unknown
60;retired;married;primary;no;yes;no;unknown
33;services;married;secondary;no;yes;no;unknown
28;blue-collar;married;secondary;no;yes;yes;unknown
56;management;married;tertiary;no;yes;no;unknown
32;blue-collar;single;primary;no;yes;yes;unknown
25;services;married;secondary;no;yes;no;unknown
40;retired;married;primary;no;yes;yes;unknown
44;admin.;married;secondary;no;yes;no;unknown
39;management;single;tertiary;no;yes;no;unknown
52;entrepreneur;married;secondary;no;yes;yes;unknown
46;management;single;secondary;no;yes;no;unknown
36;technician;single;secondary;no;yes;yes;unknown
57;technician;married;secondary;no;no;yes;unknown
49;management;married;tertiary;no;yes;no;unknown
60;admin.;married;secondary;no;yes;yes;unknown
59;blue-collar;married;secondary;no;yes;no;unknown
51;management;married;tertiary;no;yes;no;unknown
57;technician;divorced;secondary;no;yes;no;unknown
25;blue-collar;married;secondary;no;yes;no;unknown
53;technician;married;secondary;no;no;no;unknown
36;admin.;divorced;secondary;no;yes;no;unknown
37;admin.;single;secondary;no;yes;no;unknown
44;services;divorced;secondary;no;yes;no;unknown
50;management;married;secondary;no;yes;no;unknown
60;blue-collar;married;unknown;no;yes;no;unknown
54;retired;married;secondary;no;yes;no;unknown
58;retired;married;unknown;no;yes;no;unknown
36;admin.;single;primary;no;yes;no;unknown
58;self-employed;married;tertiary;no;yes;no;unknown
44;technician;married;secondary;no;yes;no;unknown
55;technician;divorced;secondary;no;no;no;unknown
29;management;single;tertiary;no;yes;no;unknown
54;blue-collar;married;secondary;no;yes;no;unknown
48;management;divorced;tertiary;no;yes;no;unknown
32;management;married;tertiary;no;yes;no;unknown
42;admin.;single;secondary;no;yes;no;unknown
24;technician;single;secondary;no;yes;yes;unknown
38;entrepreneur;single;tertiary;no;no;yes;unknown
38;management;single;tertiary;no;yes;no;unknown
47;blue-collar;married;unknown;no;yes;no;unknown
40;blue-collar;single;unknown;no;yes;no;unknown
46;services;married;primary;no;yes;no;unknown
32;admin.;married;tertiary;no;yes;no;unknown
53;technician;divorced;secondary;no;yes;no;unknown
57;blue-collar;married;primary;no;yes;no;unknown
33;services;married;secondary;no;yes;no;unknown
49;blue-collar;married;unknown;no;yes;no;unknown
51;management;married;tertiary;no;yes;no;unknown
60;retired;married;tertiary;no;no;no;unknown
59;management;divorced;tertiary;no;yes;no;unknown
55;technician;married;secondary;no;yes;no;unknown
35;blue-collar;single;secondary;no;yes;yes;unknown
57;blue-collar;married;secondary;no;yes;yes;unknown
31;services;married;secondary;no;yes;yes;unknown
54;management;married;secondary;no;yes;yes;unknown
55;blue-collar;married;primary;no;yes;no;unknown
43;technician;married;secondary;no;yes;no;unknown
53;technician;married;secondary;no;yes;no;unknown
44;blue-collar;married;secondary;no;no;yes;unknown
55;services;divorced;secondary;no;no;no;unknown
49;services;divorced;secondary;no;yes;yes;unknown
55;services;divorced;secondary;yes;yes;no;unknown
45;admin.;single;secondary;no;yes;no;unknown
